geo_id,police_stations,fire_stations,public_schools,parks,commercial_establishments,number_of_police_killings,ARSON,ASSAULT,BATTERY,BURGLARY,CONCEALED CARRY LICENSE VIOLATION,CRIM SEXUAL ASSAULT,CRIMINAL DAMAGE,CRIMINAL SEXUAL ASSAULT,CRIMINAL TRESPASS,DECEPTIVE PRACTICE,GAMBLING,HOMICIDE,HUMAN TRAFFICKING,INTERFERENCE WITH PUBLIC OFFICER,INTIMIDATION,KIDNAPPING,LIQUOR LAW VIOLATION,MOTOR VEHICLE THEFT,NARCOTICS,NON - CRIMINAL,NON-CRIMINAL,NON-CRIMINAL (SUBJECT SPECIFIED),OBSCENITY,OFFENSE INVOLVING CHILDREN,OTHER NARCOTIC VIOLATION,OTHER OFFENSE,PROSTITUTION,PUBLIC INDECENCY,PUBLIC PEACE VIOLATION,ROBBERY,SEX OFFENSE,STALKING,THEFT,WEAPONS VIOLATION
1400000US17031030703,2,3,22,14,31.0,0.0,1.0,61.0,141.0,57.0,0.0,4.0,78.0,0.0,25.0,89.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,26.0,4.0,,0.0,,0.0,3.0,0.0,48.0,0.0,0.0,2.0,35.0,5.0,1.0,232.0,2.0
1400000US17031030706,1,3,21,11,33.0,0.0,1.0,44.0,120.0,17.0,0.0,7.0,49.0,1.0,40.0,71.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,20.0,8.0,,0.0,,0.0,1.0,0.0,36.0,0.0,0.0,2.0,12.0,4.0,0.0,509.0,9.0
1400000US17031030800,2,3,26,14,140.0,0.0,1.0,74.0,164.0,81.0,0.0,7.0,131.0,0.0,79.0,193.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,56.0,21.0,,0.0,,0.0,2.0,0.0,56.0,0.0,0.0,2.0,53.0,1.0,1.0,692.0,2.0
1400000US17031030900,2,4,27,12,102.0,0.0,1.0,27.0,55.0,38.0,0.0,1.0,61.0,0.0,22.0,75.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,19.0,6.0,,1.0,,0.0,3.0,0.0,26.0,0.0,0.0,1.0,16.0,5.0,0.0,169.0,5.0
1400000US17031031000,2,5,32,15,93.0,0.0,0.0,34.0,97.0,62.0,0.0,7.0,96.0,0.0,13.0,106.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,39.0,5.0,,0.0,,0.0,1.0,0.0,43.0,0.0,0.0,4.0,18.0,7.0,0.0,257.0,3.0
1400000US17031031100,3,5,26,14,87.0,0.0,1.0,58.0,133.0,100.0,0.0,6.0,100.0,1.0,33.0,126.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,45.0,15.0,,0.0,,0.0,2.0,0.0,55.0,0.0,0.0,3.0,39.0,2.0,0.0,276.0,6.0
1400000US17031031200,2,5,22,15,132.0,0.0,1.0,188.0,581.0,78.0,0.0,10.0,190.0,3.0,90.0,172.0,4.0,3.0,0.0,7.0,1.0,0.0,1.0,61.0,102.0,,0.0,,0.0,22.0,0.0,145.0,0.0,0.0,23.0,86.0,14.0,0.0,456.0,29.0
1400000US17031031300,1,4,20,11,22.0,0.0,0.0,77.0,195.0,27.0,1.0,21.0,112.0,2.0,32.0,131.0,0.0,3.0,0.0,3.0,1.0,1.0,0.0,44.0,22.0,,1.0,,0.0,9.0,0.0,67.0,0.0,0.0,2.0,20.0,10.0,0.0,246.0,4.0
1400000US17031031400,1,3,18,9,45.0,0.0,2.0,115.0,347.0,40.0,0.0,27.0,158.0,5.0,42.0,173.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,72.0,41.0,,2.0,,1.0,6.0,0.0,93.0,0.0,0.0,14.0,47.0,14.0,0.0,573.0,11.0
1400000US17031031501,1,5,23,13,20.0,0.0,1.0,105.0,259.0,27.0,0.0,7.0,94.0,0.0,30.0,76.0,0.0,2.0,0.0,3.0,0.0,0.0,1.0,28.0,36.0,,0.0,,1.0,12.0,0.0,80.0,1.0,0.0,9.0,21.0,7.0,0.0,220.0,5.0
